q,d(q)
944,0.120654
945,0.120875
946,0.120917
947,0.12166
948,0.122101
949,0.123193
950,0.123472
951,0.123532
952,0.123542
953,0.123564
954,0.123673
955,0.123917
956,0.123978
957,0.124678
958,0.124944
959,0.125316
960,0.12537
961,0.125385
962,0.126695
963,0.127059
964,0.127707
965,0.127762
966,0.127939
967,0.128725
968,0.128834
969,0.13015
970,0.132053
971,0.133033
972,0.133223
973,0.133566
974,0.135928
975,0.137231
976,0.137695
977,0.138242
978,0.13896
979,0.139515
980,0.139628
981,0.141526
982,0.142227
983,0.142461
984,0.143451
985,0.144131
986,0.146865
987,0.147852
988,0.148645
989,0.149462
990,0.150121
991,0.150482
992,0.15207
993,0.152871
994,0.170262
995,0.174633
996,0.177674
997,0.179946
998,0.199142
999,0.210642
